Entity,Position,Count
YHIGHEST,1,9
YLEAST,1,6
XLEAST,1,7
other,1,6
XHIGHEST,1,63
YHIGHEST,2,52
YLEAST,2,6
XLEAST,2,9
other,2,5
XHIGHEST,2,11
XSECOND,2,6
YHIGHEST,3,2
YLEAST,3,6
XLEAST,3,16
other,3,3
XSECOND,3,49
YSECOND,3,11
XHIGHEST,3,1
YSECOND,4,39
XLEAST,4,12
other,4,7
XSECOND,4,12
YLEAST,4,10
XHIGHEST,4,3
YHIGHEST,5,3
YSECOND,5,9
XLEAST,5,35
other,5,1
XHIGHEST,5,7
YLEAST,5,12
XSECOND,5,8
YHIGHEST,6,7
YSECOND,6,7
XLEAST,6,8
other,6,3
XHIGHEST,6,3
YLEAST,6,33
XSECOND,6,9
YHIGHEST,7,2
YLEAST,7,2
XLEAST,7,1
other,7,2
XHIGHEST,7,3
YSECOND,7,2
YLEAST,8,1
XLEAST,8,6
YLEAST,9,3
other,10,1
XSECOND,11,1
XHIGHEST,12,1
