PLOTTITLE[average salary for woman], XLEAST[2000], SLOPEY[10], YUNIT[%]	The average salary for woman has grown since 2000 by at least 10 %
PLOTTITLE[female representation in various employment sectors], XHIGHEST[law firms], YLABEL[female representation], COUNT[four], XLABEL[sectors], XLEAST[tech]	This chart shows the female representation in various employment sectors . We can see that law firms have the highest female representation out of the four sectors and tech has the lowest .
T1AB[2010], XLABEL[continent], XHIGHEST[Africa], XLABEL[spender], T1AY[higher education], YUNIT[£], YHIGHESTAPPROX[290], YMAG[million], XLEAST[North America], COUNT[four], XLABEL[continents], YUNIT[£], YLEASTAPPROX[147], YMAG[m], T1AY[higher education]	In 2010 , the continent of Africa was the biggest spender on higher education , spending around £ 290 million . North America was the lowest of the four continents named , spending only around £ 147 m on higher education .
XHIGHEST[Fast Food], MULHIGHESTSECOND[twice], XSECOND[Genetics], T1AX[cause], T1AY[obesity], XLEAST[lack of exercise], YLEAST[10], YUNIT[%], T1AX[cause], T1AY[obesity]	The chat shows that Fast Food is twice as likely as Genetics to cause obesity . It also shows that lack of exercise is only 10 % likely to cause obesity .
YLABEL[woman representation], XHIGHEST[Literature], XSECOND[Arts], XLABEL[departments of university], YLABEL[representations], XLEAST[Mathematics], YLEAST[10], YUNIT[%], XFOURTH[computer science], YFOURTH[20], YUNIT[%], XTHIRD[Engineering], YTHIRD[30], YUNIT[%]	The chart shows how woman representation is highest in the Literature and Arts departments of university . The lowest representations are in Mathematics with just 10 % , followed by computer science with 20 % and Engineering with 30 %
PLOTTITLE[number of money spent on higher education in the year 2010], XLEAST[North America], YUNIT[£], YLEASTAPPROX[149], YMAG[million], T1AY[higher education], YLABEL[figure], XSECOND[Europe], YUNIT[£], YSECONDAPPROX[270], YMAG[million], XTHIRD[Asia], YUNIT[£], YTHIRDAPPROX[180], YMAG[million], XHIGHEST[Africa], YUNIT[£], YHIGHESTAPPROX[290], YMAG[million]	The chart shows the number of money spent on higher education in the year 2010 . \\n In North America £ 149 million was spent on higher education . This is the lowest figure . In Europe the spending was £ 270 million , in Asia it was £ 180 million and Africa was the highest with £ 290 million .
PLOTTITLE[Women representation in Narvik university departments], YSECOND[60], YUNIT[%], YLABEL[representation of women], XSECOND[Computer science], YHIGHEST[70], YUNIT[%], XHIGHEST[Engineering], XTHIRD[Maths], YTHIRD[55], YUNIT[%], XFOURTH[Arts], YFOURTH[32], YUNIT[%], XLEAST[Literature], YLEASTAPPROX[24], YUNIT[%]	Women representation in Narvik university departments = There is a 60 % representation of women in Computer science and 70 % in Engineering . In Maths this is 55 % . However in Arts it is 32 % and Literature just 24 % . This seems almost opposite to what I would expect .
PLOTTITLE[median salary of women], XSTART[from], XLABEL[years], XLEAST[2000], XEND[-], XHIGHEST[2015], YLABEL[salary], XHIGHEST[2015], YHIGHEST[55], YMAG[%], YSECOND[50], YMAG[%], XSECOND[2010], XTHIRD[2005], YLABEL[salary], YTHIRD[45], YMAG[%], XLEAST[2000], YLEAST[40], YMAG[%], SLOPEX[5], XLABEL[years], SLOPEY[5], YMAG[%]	This graph represents the median salary of women from the years 2000 - 2015 . The highest salary is in 2015 with 55 % , this is above the 50 % in 2010 . In 2005 the salary was 45 % and in 2000 40 % . This shows an increase every 5 years of 5 % .
PLOTTITLE[causes of obesity], YLABEL[percentage], YHIGHEST[60], YUNIT[%], YLABEL[obesity cases], T1AX[caused], XHIGHEST[fast food], YSECOND[30], YUNIT[%], XSECOND[genetic], YLEAST[10], YUNIT[%], XLEAST[lack of exercise]	This chart shows causes of obesity by percentage . 60 % of obesity cases are caused by fast food ; 30 % are genetic and 10 % are due to lack of exercise . Unfortunately the chart doesn't show the cases where more than one of these causes may have played an influence on why someone is obese .
COUNT[three], XLABEL[factors], T1AY[obesity], T1AB[Kiribati], XLABEL[cause], XHIGHEST[genetic], YHIGHESTAPPROX[40], YUNIT[%], XLEAST[fast food], YLEASTAPPROX[24], YUNIT[%], XSECOND[lack of exercise], YSECONDAPPROX[36], YUNIT[%]	There are three factors represented as contributing to obesity in Kiribati . The main cause represented is genetic , at 40 % with fast food making up 24 % and lack of exercise 36 % .
PLOTTITLE[average time spent on social media daily, according to age group, in Maputo], XLABEL[age group], XLEAST[35-44], YLABEL[time], YLEASTAPPROX[78], YUNIT[minutes], XFOURTH[25-34], YFOURTHAPPROX[79], YUNIT[minutes], XTHIRD[55-64], YTHIRD[110], YUNIT[minutes], XLABEL[age group], XSECOND[15-24], YSECOND[125], YUNIT[minutes], XLABEL[ages], XHIGHEST[45-54], YHIGHEST[150], YUNIT[minutes]	This chart shows the average time spent on social media daily, according to age group, in Maputo . According to the chart , age group 35-44 spend the least time with 78 minutes , closely followed by 25-34 who spend 79 minutes . Then 55-64 who spend 110 minutes . After that it ' s age group 15-24 who spend 125 minutes and then ages 45-54 , who spend 150 minutes .
