Entity,Position,Count
YHIGHEST,1,37
YLEAST,1,19
XLEAST,1,33
other,1,7
XHIGHEST,1,133
YSECOND,1,5
XTHIRD,1,4
XSECOND,1,16
YTHIRD,1,6
YHIGHEST,2,93
YLEAST,2,15
XLEAST,2,32
other,2,9
XSECOND,2,24
YSECOND,2,11
XTHIRD,2,12
XHIGHEST,2,51
YTHIRD,2,3
YHIGHEST,3,8
YLEAST,3,11
XLEAST,3,28
other,3,23
XSECOND,3,64
YSECOND,3,43
XTHIRD,3,19
XHIGHEST,3,25
YTHIRD,3,13
YHIGHEST,4,15
YSECOND,4,56
XLEAST,4,25
other,4,18
XSECOND,4,48
YLEAST,4,24
XTHIRD,4,23
XHIGHEST,4,14
YTHIRD,4,5
YHIGHEST,5,16
YSECOND,5,20
XLEAST,5,20
other,5,7
XSECOND,5,13
YLEAST,5,16
XTHIRD,5,65
XHIGHEST,5,10
YTHIRD,5,29
YHIGHEST,6,6
YSECOND,6,10
XLEAST,6,14
other,6,11
XHIGHEST,6,15
YLEAST,6,13
XTHIRD,6,34
XSECOND,6,20
YTHIRD,6,60
YHIGHEST,7,10
YSECOND,7,7
XLEAST,7,49
other,7,17
XSECOND,7,7
YLEAST,7,26
XTHIRD,7,13
XHIGHEST,7,12
YTHIRD,7,17
YHIGHEST,8,9
YLEAST,8,51
XLEAST,8,32
other,8,16
XSECOND,8,5
YSECOND,8,1
XTHIRD,8,13
XHIGHEST,8,16
YTHIRD,8,9
YHIGHEST,9,1
YLEAST,9,7
XLEAST,9,7
other,9,3
XHIGHEST,9,3
YSECOND,9,2
XTHIRD,9,4
XSECOND,9,1
YTHIRD,9,3
YHIGHEST,10,1
YLEAST,10,2
XLEAST,10,5
other,10,5
XSECOND,10,1
YSECOND,10,1
XHIGHEST,10,1
YTHIRD,10,1
YHIGHEST,11,1
YLEAST,11,1
other,11,2
XSECOND,11,2
YSECOND,12,1
XLEAST,12,1
other,12,1
XHIGHEST,12,1
YLEAST,13,1
XHIGHEST,13,1
XLEAST,14,1
