Entity,Position,Count
XTHIRD,1,6
XHIGHEST,1,17
YTHIRD,1,4
YHIGHEST,1,1
XLEAST,1,14
YLEAST,1,3
XFOURTH,1,1
XLEAST,2,10
YHIGHEST,2,15
XTHIRD,2,4
XHIGHEST,2,7
YTHIRD,2,2
YLEAST,2,6
XFOURTH,2,1
XSECOND,2,1
XHIGHEST,3,8
XTHIRD,3,3
YSECOND,3,4
XLEAST,3,6
YTHIRD,3,2
YHIGHEST,3,7
YFOURTH,3,2
XSECOND,3,3
YLEAST,3,3
XFOURTH,3,4
YHIGHEST,4,6
YTHIRD,4,2
XSECOND,4,8
XTHIRD,4,2
XHIGHEST,4,3
XFOURTH,4,4
YFOURTH,4,6
YSECOND,4,3
YLEAST,4,5
XLEAST,4,1
XLEAST,5,4
YHIGHEST,5,5
YTHIRD,5,3
XSECOND,5,4
YSECOND,5,6
XFOURTH,5,4
XHIGHEST,5,2
YFOURTH,5,2
XTHIRD,5,5
other,5,3
YLEAST,5,1
YLEAST,6,3
XHIGHEST,6,4
XLEAST,6,2
YSECOND,6,3
XSECOND,6,6
YFOURTH,6,3
other,6,2
XTHIRD,6,7
YTHIRD,6,7
YFOURTH,7,6
YLEAST,7,2
XFOURTH,7,4
XLEAST,7,3
YHIGHEST,7,1
YSECOND,7,3
XTHIRD,7,6
YTHIRD,7,5
XSECOND,7,5
other,7,1
YLEAST,8,2
YFOURTH,8,5
XFOURTH,8,9
XHIGHEST,8,2
XTHIRD,8,4
XSECOND,8,3
YTHIRD,8,2
YSECOND,8,4
YHIGHEST,8,1
XLEAST,8,1
XFOURTH,9,5
XLEAST,9,5
YLEAST,9,4
YFOURTH,9,4
XSECOND,9,3
other,9,1
YSECOND,9,5
XHIGHEST,9,2
YTHIRD,9,3
XLEAST,10,9
YLEAST,10,4
XFOURTH,10,2
YTHIRD,10,3
XTHIRD,10,2
XHIGHEST,10,4
YFOURTH,10,3
YHIGHEST,10,3
YSECOND,10,1
YLEAST,11,6
YSECOND,11,2
XLEAST,11,1
XSECOND,11,1
YHIGHEST,11,4
XFOURTH,11,2
YFOURTH,11,1
XLEAST,12,2
YTHIRD,12,1
YFOURTH,12,1
XSECOND,12,1
YSECOND,13,1
other,13,1
YFOURTH,13,1
YHIGHEST,13,1
XLEAST,14,1
XHIGHEST,14,1
XLEAST,15,1
