Entity,Position,Count
XLEAST,1,19
other,1,3
XHIGHEST,1,58
YLEAST,1,5
YFIFTH,1,1
XFIFTH,1,2
YHIGHEST,1,3
XSECOND,1,1
YLEAST,2,14
XLEAST,2,7
XFIFTH,2,4
other,2,4
YFIFTH,2,3
YHIGHEST,2,49
YFOURTH,2,1
XHIGHEST,2,5
XTHIRD,2,1
XSECOND,2,4
YFIFTH,3,3
YHIGHEST,3,4
other,3,8
XFIFTH,3,10
YTHIRD,3,1
XFOURTH,3,2
YLEAST,3,3
XLEAST,3,21
XSECOND,3,26
XTHIRD,3,4
XHIGHEST,3,3
YSECOND,3,5
other,4,6
XHIGHEST,4,4
YFIFTH,4,9
XSECOND,4,4
YFOURTH,4,1
XLEAST,4,5
YLEAST,4,20
YSECOND,4,22
XFOURTH,4,6
YHIGHEST,4,4
XTHIRD,4,6
YFOURTH,5,6
XFOURTH,5,10
other,5,2
YHIGHEST,5,4
XFIFTH,5,9
YFIFTH,5,5
XHIGHEST,5,1
XTHIRD,5,22
XLEAST,5,5
YTHIRD,5,2
XSECOND,5,2
YLEAST,5,2
YTHIRD,6,20
XTHIRD,6,4
YFOURTH,6,4
XHIGHEST,6,4
XFOURTH,6,10
other,6,2
YFIFTH,6,5
YHIGHEST,6,2
XSECOND,6,2
XFIFTH,6,6
YLEAST,6,3
XLEAST,6,2
YSECOND,6,2
YSECOND,7,2
YTHIRD,7,5
XTHIRD,7,5
YFOURTH,7,5
other,7,3
XHIGHEST,7,4
XFOURTH,7,20
YFIFTH,7,4
XFIFTH,7,3
YLEAST,7,2
XSECOND,7,1
XLEAST,7,5
YHIGHEST,8,4
XSECOND,8,3
YTHIRD,8,6
XTHIRD,8,7
YSECOND,8,3
YFOURTH,8,18
YFIFTH,8,4
XLEAST,8,1
XFIFTH,8,1
YLEAST,8,5
XFOURTH,8,1
other,9,2
XSECOND,9,7
YTHIRD,9,8
YHIGHEST,9,1
YSECOND,9,2
XHIGHEST,9,3
XTHIRD,9,2
XLEAST,9,3
XFIFTH,9,17
YLEAST,9,1
YFOURTH,9,2
XHIGHEST,10,5
YSECOND,10,7
XSECOND,10,3
YTHIRD,10,3
YLEAST,10,3
YFIFTH,10,18
YFOURTH,10,1
XFIFTH,10,1
XLEAST,10,1
YHIGHEST,10,2
XTHIRD,10,1
YHIGHEST,11,3
XHIGHEST,11,5
YSECOND,11,2
XSECOND,11,4
YFIFTH,11,2
XLEAST,11,14
YLEAST,11,2
XFOURTH,11,4
YTHIRD,11,1
other,11,1
YHIGHEST,12,6
XHIGHEST,12,2
other,12,1
YSECOND,12,2
XSECOND,12,2
YLEAST,12,14
XLEAST,12,2
XFOURTH,12,1
YFOURTH,12,4
YHIGHEST,13,1
other,13,1
XHIGHEST,13,1
YSECOND,13,2
YLEAST,13,1
XHIGHEST,14,1
XTHIRD,14,1
YHIGHEST,15,1
YTHIRD,15,1
other,16,1
XFOURTH,16,1
YFOURTH,17,1
XFIFTH,18,1
YFIFTH,19,1
