Entity,Position,Count
XLEAST,1,54
YLEAST,1,12
YHIGHEST,1,1
XHIGHEST,1,18
other,1,1
YFIFTH,1,1
XFIFTH,1,2
YTHIRD,1,1
YLEAST,2,50
XLEAST,2,8
XHIGHEST,2,2
YHIGHEST,2,20
other,2,2
YFOURTH,2,1
XTHIRD,2,1
YFIFTH,2,1
XFIFTH,2,2
XSECOND,2,1
YHIGHEST,3,6
XTHIRD,3,2
YLEAST,3,2
XLEAST,3,9
XHIGHEST,3,19
XFIFTH,3,32
YFIFTH,3,3
XSECOND,3,8
other,3,2
XFOURTH,3,2
XHIGHEST,4,4
YTHIRD,4,1
YFIFTH,4,28
YLEAST,4,7
YHIGHEST,4,17
XFOURTH,4,4
XFIFTH,4,4
other,4,4
YSECOND,4,7
XTHIRD,4,2
XSECOND,4,3
XLEAST,4,2
YFOURTH,4,1
other,5,3
XSECOND,5,6
XFIFTH,5,7
XHIGHEST,5,5
XFOURTH,5,25
YFIFTH,5,3
YFOURTH,5,6
YLEAST,5,2
XLEAST,5,3
XTHIRD,5,10
YSECOND,5,2
YTHIRD,5,1
YSECOND,6,5
other,6,3
YHIGHEST,6,3
YFOURTH,6,22
XFOURTH,6,9
XLEAST,6,1
YLEAST,6,2
XFIFTH,6,5
YTHIRD,6,7
YFIFTH,6,6
XTHIRD,6,5
XHIGHEST,6,2
XSECOND,6,1
YHIGHEST,7,2
XFOURTH,7,13
YTHIRD,7,8
XTHIRD,7,26
YFOURTH,7,6
YFIFTH,7,3
XLEAST,7,2
XHIGHEST,7,3
XSECOND,7,1
XFIFTH,7,2
XHIGHEST,8,1
YFOURTH,8,13
XTHIRD,8,4
YTHIRD,8,26
other,8,1
XFOURTH,8,7
YLEAST,8,3
YHIGHEST,8,2
XSECOND,8,5
YFIFTH,8,1
YTHIRD,9,2
YSECOND,9,6
other,9,5
YHIGHEST,9,1
XTHIRD,9,5
XSECOND,9,17
XHIGHEST,9,7
YLEAST,9,1
XFIFTH,9,8
XFOURTH,9,3
YFOURTH,9,4
XLEAST,9,1
YHIGHEST,10,8
XSECOND,10,5
other,10,1
YSECOND,10,16
XTHIRD,10,4
YFIFTH,10,9
YTHIRD,10,5
XLEAST,10,1
YFOURTH,10,3
XFIFTH,10,2
XHIGHEST,10,3
XFOURTH,10,1
XHIGHEST,11,15
YHIGHEST,11,4
YTHIRD,11,5
XLEAST,11,8
XSECOND,11,9
other,11,1
XFIFTH,11,3
XFOURTH,11,1
YFIFTH,11,3
YSECOND,11,2
XTHIRD,11,2
YFOURTH,11,1
XHIGHEST,12,5
YHIGHEST,12,16
other,12,3
XSECOND,12,3
YLEAST,12,7
YSECOND,12,7
XFOURTH,12,1
YFIFTH,12,4
XTHIRD,12,1
YFOURTH,12,1
XLEAST,12,2
YTHIRD,12,2
XSECOND,13,1
YSECOND,13,3
YHIGHEST,13,3
YFOURTH,13,1
XTHIRD,13,1
XFOURTH,13,1
YLEAST,13,1
XHIGHEST,13,1
other,13,1
YSECOND,14,1
XHIGHEST,14,1
YTHIRD,14,1
XFIFTH,14,1
other,14,1
YHIGHEST,14,1
XTHIRD,14,1
other,15,1
YSECOND,15,1
XHIGHEST,15,2
XHIGHEST,16,1
YTHIRD,16,1
XLEAST,16,1
YHIGHEST,16,1
YHIGHEST,17,1
YFOURTH,17,1
YFIFTH,18,1
XHIGHEST,19,1
XLEAST,20,1
other,21,1
XLEAST,22,1
YLEAST,23,1
XFIFTH,24,1
YFIFTH,25,1
XFOURTH,26,1
YFOURTH,27,1
XTHIRD,28,1
YTHIRD,29,1
XSECOND,30,1
YSECOND,31,1
XHIGHEST,32,1
YHIGHEST,33,1
